filename,cmp1_tR_min,cmp1_area_mV_min,cmp2_tR_min,cmp2_area_mV_min,cmp3_tR_min,cmp3_area_mV_min,cmp4_tR_min,cmp4_area_mV_min,cmp5_tR_min,cmp5_area_mV_min,cmp6_tR_min,cmp6_area_mV_min,cmp7_tR_min,cmp7_area_mV_min,cmp8_tR_min,cmp8_area_mV_min,cmp9_tR_min,cmp9_area_mV_min,cmp10_tR_min,cmp10_area_mV_min,cmp11_tR_min,cmp11_area_mV_min,cmp12_tR_min,cmp12_area_mV_min,cmp13_tR_min,cmp13_area_mV_min,cmp14_tR_min,cmp14_area_mV_min,cmp15_tR_min,cmp15_area_mV_min,cmp16_tR_min,cmp16_area_mV_min,cmp17_tR_min,cmp17_area_mV_min,cmp18_tR_min,cmp18_area_mV_min,cmp19_tR_min,cmp19_area_mV_min,cmp20_tR_min,cmp20_area_mV_min,cmp21_tR_min,cmp21_area_mV_min,cmp22_tR_min,cmp22_area_mV_min,cmp23_tR_min,cmp23_area_mV_min,cmp24_tR_min,cmp24_area_mV_min
1octoh1.gcd,,,4.9809,15621.7005,,,,,,,,,,,,,9.8984,3.9655,10.6318,6329.2953,11.8845,2.3286,,,,,,,,,,,,,,,,,,,,,,,,,,
1octoh2.gcd,,,4.9895,16636.1591,,,,,,,,,,,,,9.8984,3.1913,10.6017,4709.2263,11.8798,1.5748,,,,,,,,,,,,,,,,,,,,,,,,,,
1octoh3.gcd,,,5.0062,18859.1843,,,,,,,,,,,,,9.8964,2.3312,10.5751,3399.1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1octoh4.gcd,,,5.0075,18960.7160,,,,,,,,,,,,,,,10.5271,1641.0413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1octoh5.gcd,,,5.0122,19469.7257,,,,,,,,,,,,,,,10.4817,616.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-propanol_limpieza.gcd,,,5.0035,19041.8898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-propanol_limpieza2.gcd,,,5.0042,18217.8299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-propanol_limpieza3.gcd,,,4.9995,17773.3277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-propanol_limpieza4.gcd,,,5.0109,19481.4428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m2boh1.gcd,,,4.9695,14327.3547,5.7469,5198.2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m2boh2.gcd,,,5.0242,21882.2732,5.7829,5500.4235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m2boh3.gcd,,,5.0035,18656.1988,5.7322,3054.3499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m2boh4.gcd,,,5.0075,18693.3383,5.8902,0.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m2boh5.gcd,,,5.0222,20974.5513,5.8889,0.6072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m3b2oh1.gcd,2.8108,5.9776,4.9729,14496.7054,5.9342,5387.5037,6.5663,4.8973,7.0343,0.6623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m3b2oh2.gcd,,,4.9775,15408.3557,5.9262,4113.2824,6.5623,3.2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m3b2oh3.gcd,,,4.9869,16307.0011,5.9116,2703.2778,6.5596,1.7264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m3b2oh4.gcd,,,4.9955,17277.8021,5.8942,1361.3695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m3b2oh5.gcd,,,4.9975,17693.9763,5.8782,523.6559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2octanone1.gcd,,,4.9762,15267.8451,,,,,,,8.5723,6234.3804,8.8297,5.5535,9.3010,4.6131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2octanone2.gcd,,,4.9802,15781.7788,,,,,,,8.5277,4118.9653,8.8043,1.9729,9.2964,1.1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2octanone3.gcd,,,4.9855,16383.9982,,,,,,,8.4870,2673.5623,8.7850,0.9427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2octanone4.gcd,,,4.9942,17285.7492,,,,,,,8.4477,1685.7397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2octanone5.gcd,,,5.0015,18205.5227,,,,,,,8.3897,701.7031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2pe1.gcd,,,4.9729,14641.1194,,,,,,,,,,,,,,,,,,,,,,,13.4265,9039.7549,,,,,,,,,,,,,,,,,,,,
2pe2.gcd,,,4.9802,15379.0493,,,,,,,,,,,,,,,,,,,,,,,13.4225,6645.5310,,,,,,,,,,,,,,,,,,,,
2pe3.gcd,,,4.9835,16063.7551,,,,,,,,,,,,,,,,,,,,,,,13.4192,4421.2839,,,,,,,,,,,,,,,,,,,,
2pe4.gcd,,,4.9995,17679.6048,,,,,,,,,,,,,,,,,,,,,,,13.4112,2171.5385,,,,,,,,,,,,,,,,,,,,
2pe5.gcd,,,5.0049,18469.4168,,,,,,,,,,,,,,,,,,,,,,,13.4032,856.4005,,,,,,,,,,,,,,,,,,,,
beta1.gcd,,,4.9835,15843.9179,,,,,,,,,,,,,,,,,,,13.0918,37.9642,,,,,14.0899,7177.8811,14.4266,42.7734,14.9046,2.9956,,,15.2639,3.5670,,,,,15.7453,2.4595,15.8586,10.0169,,
beta2.gcd,,,4.9882,16329.7026,,,,,,,,,,,,,,,,,,,13.0905,20.8278,13.2265,3.7617,,,14.0399,5286.3395,14.4026,30.8025,14.8959,2.2288,,,15.2399,2.2158,,,,,15.7353,1.9017,15.8566,7.2060,,
beta3.gcd,,,5.0109,19158.4560,5.8762,0.5902,,,,,,,,,,,,,,,,,13.0885,16.0898,13.2292,4.3387,,,13.9999,3604.1649,14.3806,20.2460,14.8899,1.5076,,,,,,,,,15.7246,1.3248,15.8586,4.7424,,
beta4.gcd,,,5.0055,18636.7516,5.8729,0.5651,,,,,,,,,,,,,,,,,13.0818,8.4273,13.2212,2.4104,,,13.9412,1832.4719,14.3526,8.6804,,,,,,,,,,,,,,,,
beta5.gcd,,,5.0089,19032.0476,5.8742,0.6104,,,,,,,,,,,,,,,,,13.0738,3.3047,13.2139,0.9521,,,13.8799,727.0603,14.3259,2.2464,,,,,,,,,,,,,,,,
gamma1.gcd,,,4.9722,14430.6704,,,,,,,,,,,,,,,,,,,,,,,13.4632,9.4059,,,,,,,15.0459,2.9302,,,,,,,,,16.2140,5580.1215,16.4726,1.2614
gamma2.gcd,,,4.9795,15508.2346,,,,,,,,,,,,,,,,,,,,,,,13.4772,6.1933,,,,,,,,,,,,,15.5979,8.3973,,,16.1580,4398.9706,,
gamma3.gcd,,,4.9889,16554.7772,,,,,,,,,,,,,,,,,,,,,,,13.4632,2.5457,,,,,,,,,,,15.4233,6.1445,,,,,16.0913,2938.1841,,
gamma4.gcd,,,4.9962,17394.0425,,,,,,,,,,,,,,,,,,,,,,,13.4519,1.2566,,,,,,,,,,,15.4226,3.1186,,,,,16.0000,1488.7364,,
gamma5.gcd,,,4.9989,17972.5340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9093,581.1465,,
mibk1.gcd,,,4.9782,15813.2584,5.8516,6536.0958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mibk2.gcd,,,4.9889,16762.1944,5.8409,5436.3061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mibk3.gcd,,,4.9962,17647.2386,5.8096,3164.8621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mibk4.gcd,,,5.0035,18597.8233,5.8769,0.7763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mibk5.gcd,,,5.0215,21182.2815,5.7716,664.6844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

median_tR,,2.8108,,4.9962,,5.8729,,6.5623,,7.0343,,8.4870,,8.8043,,9.2987,,9.8984,,10.5751,,11.8821,,13.0885,,13.2239,,13.4265,,13.9999,,14.3806,,14.8959,,15.0459,,15.2519,,15.4229,,15.5979,,15.7353,,15.9546,,16.4726
tR_std,,0.0000,,0.0144,,0.0751,,0.0034,,0.0000,,0.0706,,0.0224,,0.0033,,0.0012,,0.0597,,0.0033,,0.0075,,0.0068,,0.0266,,0.0823,,0.0398,,0.0074,,0.0000,,0.0170,,0.0005,,0.0000,,0.0103,,0.1451,,0.0000
mean_area,,5.9776,,17404.5751,,2226.5869,,3.2750,,0.6623,,3082.8702,,2.8230,,2.8953,,3.1627,,3339.0733,,1.9517,,17.3228,,2.8657,,2572.6567,,3725.5835,,20.9497,,2.2440,,2.9302,,2.8914,,4.6315,,8.3973,,1.8953,,1876.1406,,1.2614
std_area,,0.0000,,1844.2885,,2283.0133,,1.5867,,0.0000,,2167.6585,,2.4201,,2.4294,,0.8175,,2297.6607,,0.5330,,13.3745,,1.5102,,3378.4256,,2595.3840,,16.3875,,0.7441,,0.0000,,0.9554,,2.1396,,0.0000,,0.5673,,2188.1708,,0.0000
rsd_pct,,0.00,,10.60,,102.53,,48.45,,0.00,,70.31,,85.73,,83.91,,25.85,,68.81,,27.31,,77.21,,52.70,,131.32,,69.66,,78.22,,33.16,,0.00,,33.04,,46.20,,0.00,,29.93,,116.63,,0.00
n_detected,,1,,44,,21,,3,,1,,5,,3,,2,,3,,5,,2,,5,,4,,9,,5,,5,,3,,1,,2,,2,,1,,3,,8,,1
